Game Name,Developer,Genre,Rating
Candy Crush Saga,King,Puzzle,4.6
Clash of Clans,Supercell,Strategy,4.5
Among Us,InnerSloth,Party,4.4
Pokémon GO,Niantic,Augmented Reality,4.3
PUBG Mobile,Tencent Games,Battle Royale,4.2
Roblox,Roblox Corporation,Sandbox,4.5
Fortnite,Epic Games,Battle Royale,4.1
Genshin Impact,miHoYo,Action RPG,4.7
Call of Duty: Mobile,Activision,Shooter,4.3
Subway Surfers,SYBO Games,Endless Runner,4.5
Temple Run,Imangi Studios,Endless Runner,4.2
Angry Birds,Rovio Entertainment,Arcade,4.3
Fruit Ninja,Halfbrick Studios,Arcade,4.4
Brawl Stars,Supercell,Action,4.5
Minecraft,Mojang,Sandbox,4.8
Asphalt 9: Legends,Gameloft,Racing,4.6
8 Ball Pool,Miniclip,Sports,4.5
Homescapes,Playrix,Puzzle,4.4
Gardenscapes,Playrix,Puzzle,4.4
Clash Royale,Supercell,Strategy,4.5
Mario Kart Tour,Nintendo,Racing,4.2
Hearthstone,Blizzard Entertainment,Card,4.1
Rise of Kingdoms,Lilith Games,Strategy,4.3
AFK Arena,Lilith Games,RPG,4.4
Mobile Legends,Moonton,MOBA,4.3
Free Fire,Garena,Battle Royale,4.3
Dragon Ball Legends,Bandai Namco,Fighting,4.2
Marvel Contest of Champions,Kabam,Fighting,4.4
Dragon City,Socialpoint,Simulation,4.3
The Sims Mobile,Electronic Arts,Simulation,4.2
SimCity BuildIt,Electronic Arts,Simulation,4.3
Hay Day,Supercell,Simulation,4.4
FarmVille 2: Country Escape,Zynga,Simulation,4.2
CSR Racing 2,NaturalMotion,Racing,4.6
Real Racing 3,Electronic Arts,Racing,4.4
Sonic Dash,SEGA,Endless Runner,4.3
Pokemon Masters EX,DeNA Co.,RPG,4.4
Final Fantasy XV: A New Empire,Epic Action LLC,Strategy,4.2
Lords Mobile,IGG.COM,Strategy,4.3
State of Survival,KingsGroup Holdings,Strategy,4.1
Rise of Empires,Long Tech Network Limited,Strategy,4.2
Clash of Kings,Elex Wireless,Strategy,4.1
Game of War - Fire Age,Machine Zone,Strategy,4.2
Empires & Puzzles,Small Giant Games,Puzzle,4.3
RAID: Shadow Legends,Plarium Global Ltd,RPG,4.3
Forge of Empires,InnoGames,Strategy,4.1
March of Empires,Gameloft SE,Strategy,4.3
Plants vs. Zombies,PopCap Games,Strategy,4.4
Boom Beach,Supercell,Strategy,4.5
Dragon Mania Legends,Gameloft,Simulation,4.3
Angry Birds 2,Rovio Entertainment,Arcade,4.6
Doodle Jump,Lima Sky LLC,Arcade,4.2
CSR Classics,NaturalMotion,Racing,4.5
Marvel Strike Force,Scopely,RPG,4.3
Honkai Impact 3rd,miHoYo,Action RPG,4.6
Vainglory,Super Evil Megacorp,MOBA,4.1
Mobile Strike,Machine Zone,Strategy,4.2
War Robots,Pixonic,Action,4.3
Clash of Lords 2,IGG.COM,Strategy,4.4
Cooking Fever,Nordcurrent,Simulation,4.4
Candy Crush Soda Saga,King,Puzzle,4.5
Piano Tiles 2,Cheetah Mobile,Music,4.4
Cut the Rope,ZeptoLab,Puzzle,4.5
Jetpack Joyride,Halfbrick Studios,Arcade,4.4
Crossy Road,Hipster Whale,Arcade,4.6
Badland,Frogmind,Adventure,4.5
Shadow Fight 3,Nekki,Action,4.3
King of Thieves,ZeptoLab,Arcade,4.2
Terraria,505 Games,Adventure,4.6
BitLife,Goodgame Studios,Simulation,4.2
Toca Life: World,Toca Boca,Simulation,4.5
Score! Hero,First Touch Games,Sports,4.3
Dream League Soccer,First Touch Games,Sports,4.4
Stick War: Legacy,Max Games Studios,Strategy,4.5
Pixel Gun 3D,Cubic Games,Action,4.1
Smash Hit,Mediocre,Arcade,4.5
Geometry Dash,RobTop Games,Arcade,4.6
Fallout Shelter,Bethesda Softworks,Simulation,4.5
Hungry Shark Evolution,Ubisoft,Arcade,4.4
Granny,DVloper,Horror,4.3
Five Nights at Freddy's,Scott Cawthon,Horror,4.6
Star Wars: Galaxy of Heroes,Electronic Arts,RPG,4.4
Summoners War,Com2uS,RPG,4.2
Tap Titans 2,Game Hive Corporation,Clicker,4.5
My Talking Tom,Outfit7,Virtual Pet,4.5
Farming Simulator 20,GIANTS Software,Simulation,4.3
Angry Birds Dream Blast,Rovio Entertainment,Puzzle,4.6
Wordscapes,PeopleFun,Puzzle,4.5
2048,Gabriele Cirulli,Puzzle,4.4
Brain Out,Focus apps,Puzzle,4.4
Ink Inc.,Lion Studios,Simulation,4.2
Idle Miner Tycoon,Kolibri Games,Simulation,4.5
Fishing Clash,Ten Square Games,Sports,4.6
Merge Dragons!,Gram Games,Puzzle,4.5
Coin Master,Moon Active,Casual,4.4
Monument Valley,Ustwo Games,Puzzle,4.8
Stardew Valley,ConcernedApe,Simulation,4.7
Hades,Supergiant Games,Action,4.9
Plague Inc.,Ndemic Creations,Strategy,4.5
Alto's Adventure,Noodlecake Studios,Endless Runner,4.7
The Room,Fireproof Games,Puzzle,4.8
